airport_a,airport_b,flights_per_day,straight_km,rail_km,detour_ratio,class,excess_km
LAX,SFO,84.0,671.1834410847191,797.2850642075394,1.1878795205659778,Good,126.10162312282029
DEN,PHX,69.0,1209.4886465112095,1810.9409940578323,1.4972782086723364,Okay,601.4523475466228
JFK,LAX,66.0,5056.118924296384,6234.4902642769075,1.2330584698706444,Good,1178.371339980524
LAS,LAX,64.0,464.8531289485706,558.871929870224,1.2022548522676617,Good,94.0188009216534
BOS,DCA,61.0,846.5950889397794,948.966537738266,1.1209213827671618,Good,102.3714487984865
ATL,FLL,60.0,1082.7692211215008,1239.2437831807158,1.1445133081056214,Good,156.47456205921503
LGA,ORD,59.0,1572.2457186277632,2098.224207932429,1.3345396225748567,Good,525.9784893046661
ATL,MCO,58.0,761.0597862878592,856.8312920908837,1.1258396613887052,Good,95.77150580302451
PHX,SEA,57.0,2359.885825870458,3360.5583024471944,1.4240342755597646,Okay,1000.6724765767362
LAX,PHX,54.0,715.3279482093083,777.2714088917164,1.0865944925505457,Good,61.94346068240819
DEN,LAS,51.0,1282.563473253592,1900.642770258002,1.4819093244847161,Okay,618.0792970044098
MCO,ORD,49.0,1993.9282423923519,2382.9496612853854,1.1951030185651408,Good,389.0214188930336
EWR,MCO,49.0,1843.0548390216645,2291.3735217817216,1.2432476089523385,Good,448.318682760057
DEN,SLC,48.0,824.5843640050401,1015.2782102492203,1.231260565405306,Good,190.69384624418012
BOS,ORD,47.0,1882.451328418777,2546.7738828892416,1.3529029114545463,Okay,664.3225544704646
LAX,SEA,47.0,2041.6088517799503,2583.958081493758,1.2656479615284622,Good,542.3492297138079
DEN,LAX,47.0,1736.898224442362,2454.1786494552302,1.4129662952722253,Okay,717.2804250128681
ATL,DFW,45.0,1407.4893849077614,1866.9628477032684,1.3264489719939296,Good,459.4734627955069
DCA,ORD,44.0,1293.330454060497,1609.5340786922457,1.2444878829219606,Good,316.20362463174877
PHX,SLC,24.0,1028.3279549419044,1452.4940725532126,1.4124813641143028,Okay,424.1661176113081
ATL,LGA,23.0,1542.0428643866392,1825.9618144295966,1.1841187145961007,Good,283.9189500429574
MSP,ORD,23.0,741.0617997491211,976.2021716178747,1.3173019739357203,Good,235.14037186875356
ATL,MIA,22.0,1107.1638705615992,1289.879089829269,1.1650299690279715,Good,182.71521926766982
DFW,LAX,22.0,2382.752104104863,2894.503591822105,1.2147732812136132,Good,511.75148771724196
ORD,PHX,22.0,2941.0347646675323,3890.894405362402,1.3229678384309222,Good,949.8596406948692
